step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
1250000,1.25,29.348604374001287,64.93805802627232,85.47413931113974,150.3391334676493,116.91545435632332,8.748348499462184,8.801515043123715,0,2.7236510237504823,9,3,5,11,1.6427146294805122,102.84680172725355
1275000,1.275,29.63199792743728,66.09645908263178,85.22314912640837,151.17427550657015,117.1996262488312,9.73850375633047,8.55052485839235,0,2.5399854337541554,15,3,9,12,1.6560068623870645,105.42339423171596
1300000,1.3,29.91152541826646,65.31961024577443,86.27377708272893,151.509865286867,117.55787943217268,9.46669098842112,9.601152814712904,0,2.6418280947508483,9,3,6,12,1.6516112087532582,107.51279009518734
1325000,1.325,29.6986130610209,66.33640436665463,85.61060323234133,151.8030328857871,117.1264817024575,9.449286924884117,8.93797896432531,0,2.7682869154933614,10,3,5,10,1.6332646272455138,106.04692948949474
1350000,1.3499999999999999,29.650157815640217,65.49962819980662,86.29168447938612,151.6914071087477,116.84123004772772,9.335630829808181,9.619060211370098,0,2.7598094917092344,12,2,8,12,1.6654440579036536,106.53128186657284
1375000,1.375,29.899068199191444,65.75771245046593,85.5423696076935,151.19537570956953,116.8639316256642,9.088931041287427,8.869745339677479,0,2.9219421368991405,11,3,6,10,1.6679890249204727,105.48295928820976
1400000,1.4,30.146260285092968,67.70852318581566,84.79365119871535,152.3704046537218,117.15803804749063,9.58642366098305,8.12102693069933,0,2.6721470519878934,12,3,8,10,1.642698727800558,104.66660457414693
1425000,1.425,30.01062003778826,66.40414593479218,85.39118876922922,151.71341492862135,116.79578011781925,8.788804355661005,8.718564501213194,0,2.5793215300209957,11,3,7,12,1.6650373884815846,105.93744048555436
1450000,1.45,29.800529585086192,64.6407252595669,85.43922013191178,150.02316457201763,116.88892417031305,9.414952693411566,8.766595863895759,0,3.0126861946576686,7,2,4,10,1.659041523630112,105.10154003513516
1475000,1.4749999999999999,29.617768099154457,64.7151966141476,85.44752838740166,150.13336929366704,116.66885727172172,9.049392764139546,8.774904119385639,0,2.7864164592334446,8,3,6,9,1.6568459273747322,106.06762366342149
1500000,1.5,29.464313646430522,64.28208453361009,85.52348928986936,149.73390870983178,116.58043303379107,9.166727663487706,8.850865021853338,0,3.172802281622394,5,2,4,10,1.6392415449658275,104.05970721200747
1525000,1.525,29.483805111579954,63.733896742169655,86.37180184910795,150.03771764047838,116.81967725624425,9.35393995382926,9.69917758109193,0,3.1575292184728023,3,2,2,11,1.651195957712224,103.3309810010438
1550000,1.5499999999999998,29.34973038185969,63.553007898623726,86.6486618671981,150.16764312532206,116.44119124491756,8.88197508660997,9.976037599182078,0,2.869931533061176,3,1,1,11,1.6510042210690845,104.66441417479305
1575000,1.575,29.430434838959677,63.97964865023548,86.23744976164642,150.20703260636927,116.63249472125507,9.192300655573469,9.564825493630394,0,2.987998602552166,6,3,2,11,1.6490545093144382,103.8487253639479
1600000,1.5999999999999999,29.25234026925061,64.67921642823345,85.75399347227508,150.4145833032894,116.56599932783347,8.605035753129785,9.081369204259062,0,3.0130462398536926,6,3,4,11,1.6480614327397982,103.40115709880722
1625000,1.625,29.310936904116872,64.70490174960838,85.76709695144305,150.41402942501708,116.37331184113215,9.336050216893407,9.094472683427028,0,2.714734024081313,2,2,2,10,1.6405315709076196,103.56011520233601
1650000,1.65,29.28850739222619,61.88552372087618,86.84916054655923,148.6744233828305,116.38411436217638,8.90404666758652,10.17653627854321,0,2.9492284574975556,8,3,6,11,1.6573409214541042,102.74335253288432
1675000,1.6749999999999998,28.785415435754906,60.287167079598994,86.25962268002239,146.52344799646505,115.75944261046202,8.728577371378119,9.586998412006366,0,2.824043643253247,3,2,3,9,1.6368635300478254,103.19172042991211
1700000,1.7,28.6305657346028,59.83871996919066,86.09066972612601,145.88295758481712,115.2986901339686,8.770025981215413,9.418045458109987,0,2.9758094133933635,8,4,7,10,1.6458814848709196,102.98461451634462
1725000,1.7249999999999999,28.656138951984644,59.761157768128044,86.5615882586936,146.31448760166793,115.59226667831298,8.148288828147493,9.888963990677581,0,2.7222673821264696,8,3,5,9,1.6450442647157395,103.18961824212492
1750000,1.75,28.896097123607206,61.730578525606795,85.70277497805056,147.4296422062189,115.7311745529098,8.446822748567632,9.030150710034533,0,2.6870862321999023,8,3,5,12,1.6549201343244473,102.6053692459592
