sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,3.48,48.48,24.702174,51.30239,267.62121,0.19169777,0.54726439,10,4,0.6,0.425,0.625,0.24938369,31,5,10,1.6376651
dA40,3.49,48.49,24.894179,52.322242,264.89472,0.1975209,0.57118072,11,4,0.55,0.4,0.675,0.26432545,31,1,6,1.6676286
dA40,3.5,48.5,24.907735,52.070464,269.84774,0.19296239,0.56253543,10,4,0.575,0.4,0.55,0.22995132,31,5,9,1.6485413
dA40,3.51,48.51,25.022792,52.246493,269.33004,0.19398688,0.57123416,11,4,0.525,0.375,0.6,0.25582802,31,4,8,1.6548654
dA40,3.52,48.52,25.127441,52.018605,270.29168,0.19245359,0.57179088,11,4,0.525,0.35,0.65,0.26359961,32,4,7,1.6600522
dA40,3.53,48.53,24.604591,49.897319,267.88285,0.18626545,0.56104745,11,4,0.575,0.425,0.65,0.2628013,32,4,7,1.661358
dA40,3.54,48.54,24.580947,51.026296,268.74086,0.18987174,0.55350609,11,4,0.55,0.4,0.7,0.2487409,33,5,9,1.6502659
dA40,3.55,48.55,24.682493,50.940849,267.60292,0.19035984,0.55364312,12,4,0.525,0.375,0.725,0.26297436,32,5,8,1.6374177
dA40,3.56,48.56,24.441999,50.962058,268.1596,0.19004376,0.54490711,9,4,0.6,0.425,0.7,0.2638168,33,1,6,1.6722815
dA40,3.57,48.57,24.359923,51.18279,268.23148,0.19081575,0.54596227,12,4,0.5,0.35,0.675,0.23766285,33,2,6,1.6411899
dA40,3.58,48.58,24.544706,51.557554,268.03373,0.19235473,0.553222,10,4,0.575,0.4,0.675,0.26320039,32,3,8,1.6498221
dA40,3.59,48.59,24.383985,52.252555,266.6685,0.19594573,0.54536888,12,4,0.525,0.375,0.65,0.24789723,31,4,9,1.6366658
dA40,3.6,48.6,24.398108,52.269897,264.63661,0.19751574,0.5502088,14,4,0.45,0.35,0.65,0.25004947,32,4,7,1.6465652
dA40,3.61,48.61,24.754904,52.49726,262.55472,0.19994788,0.55861318,12,3,0.5,0.425,0.675,0.25317354,31,5,8,1.6595263
dA40,3.62,48.62,24.899014,52.658232,263.42972,0.1998948,0.55439633,11,3,0.525,0.425,0.675,0.22582235,30,3,9,1.6512914
dA40,3.63,48.63,24.89445,53.179807,263.89494,0.20151886,0.54228413,11,4,0.55,0.375,0.65,0.24037869,32,2,8,1.6409442
dA40,3.64,48.64,24.975057,52.776759,265.01273,0.19914801,0.54300569,11,4,0.55,0.4,0.75,0.20318388,32,3,9,1.6510714
dA40,3.65,48.65,25.122473,53.33656,266.94242,0.19980548,0.55867391,11,3,0.525,0.375,0.65,0.20667867,31,3,7,1.6429237
dA40,3.66,48.66,25.302374,53.36354,264.91471,0.20143668,0.5709417,12,3,0.5,0.4,0.7,0.23234155,30,1,6,1.66512
dA40,3.67,48.67,25.431224,53.2513,268.79714,0.19810963,0.5772101,8,3,0.625,0.475,0.6,0.20651081,31,6,11,1.6510418
dA40,3.68,48.68,25.037724,52.919266,265.91437,0.19900867,0.56780926,11,3,0.5,0.4,0.65,0.20996637,30,5,10,1.6530292
dA40,3.69,48.69,24.913291,52.219178,262.68593,0.1987894,0.56445735,11,3,0.525,0.425,0.675,0.18568172,31,4,10,1.6707455
dA40,3.7,48.7,24.830009,52.00329,267.09122,0.19470236,0.55418273,10,3,0.55,0.4,0.625,0.19705278,31,1,8,1.6529891
