sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dT40,1.96,1.96,25.613399,62.639323,295.67294,0.21185342,0.6437539,3,7,0.875,0.425,0.225,0.012458379,28,1,4,1.6365238
dT40,1.97,1.97,25.327638,62.02095,290.54944,0.21346091,0.63702343,3,7,0.875,0.45,0.175,-0.021184494,30,1,4,1.6874526
dT40,1.98,1.98,25.481175,62.911967,290.03834,0.21690914,0.64385466,4,7,0.85,0.45,0.2,-0.0046309353,30,1,4,1.6689025
dT40,1.99,1.99,25.502075,62.844137,291.43769,0.2156349,0.6436327,4,6,0.85,0.475,0.2,0.0059606469,30,0,3,1.6370419
dT40,2,2,25.571556,63.911619,290.47337,0.22002574,0.64120161,4,6,0.85,0.475,0.175,0.017959095,30,1,5,1.6508075
dT40,2.01,2.01,25.533813,63.496901,290.69053,0.21843471,0.62397469,5,6,0.8,0.4,0.225,0.016120406,29,1,4,1.6400532
dT40,2.02,2.02,25.652092,64.772496,292.74912,0.22125599,0.64522292,4,8,0.85,0.375,0.15,0.018341082,28,1,3,1.6400719
dT40,2.03,2.03,25.489826,64.932889,291.7263,0.22258154,0.64554963,2,7,0.9,0.45,0.25,0.010006508,29,0,3,1.6726355
dT40,2.04,2.04,25.270425,62.994334,289.2925,0.21775308,0.63624319,4,6,0.85,0.475,0.175,-0.011970638,30,1,5,1.6521422
dT40,2.05,2.05,25.440094,63.667461,292.55472,0.21762582,0.63853774,3,7,0.85,0.4,0.25,-0.021799095,29,1,4,1.6607599
dT40,2.06,2.06,25.252451,63.02164,291.40537,0.21626794,0.63904992,5,6,0.8,0.4,0.175,-0.015216592,30,1,5,1.6312714
dT40,2.07,2.07,25.171984,63.355729,288.36182,0.21970915,0.63032673,3,7,0.875,0.425,0.2,-0.013080858,32,1,5,1.6662855
dT40,2.08,2.08,25.145381,62.532694,292.36644,0.21388465,0.63541993,4,7,0.85,0.4,0.225,-0.012724663,29,1,5,1.6476051
dT40,2.09,2.09,25.524118,63.440433,292.04681,0.21722693,0.63130544,5,6,0.8,0.4,0.2,-0.023563042,31,1,3,1.6263461
dT40,2.1,2.1,25.736304,64.227195,290.33949,0.22121413,0.64445064,4,6,0.8,0.4,0.225,-0.0026590323,32,1,3,1.6591308
dT40,2.11,2.11,25.682311,63.348033,291.41487,0.21738092,0.64469524,5,6,0.8,0.4,0.175,-0.029459997,31,1,3,1.639928
dT40,2.12,2.12,25.720068,63.412015,293.82851,0.21581301,0.64844837,4,8,0.8,0.3,0.25,-0.033557127,33,0,2,1.6768631
dT40,2.13,2.13,25.604127,63.347134,292.67642,0.21644085,0.65436489,4,7,0.85,0.4,0.175,-0.031243269,34,1,5,1.6484149
dT40,2.14,2.14,25.836387,64.209553,289.91321,0.22147854,0.65927613,3,6,0.85,0.5,0.225,-0.02633385,32,1,4,1.6593343
dT40,2.15,2.15,25.757468,64.19152,291.82988,0.21996212,0.6666472,3,6,0.875,0.475,0.175,-0.017422302,31,1,5,1.6528208
dT40,2.16,2.16,25.447886,64.043212,291.33322,0.21982804,0.65361582,4,5,0.85,0.5,0.125,-0.012259976,32,1,4,1.6378128
dT40,2.17,2.17,25.876902,65.087201,291.42139,0.22334394,0.66140236,4,5,0.85,0.5,0.25,0.0054500047,29,1,4,1.6324994
dT40,2.18,2.18,25.561635,62.153429,290.77618,0.21375007,0.66039522,4,7,0.85,0.4,0.25,-0.0066175779,30,0,5,1.6543605
dT40,2.19,2.19,25.913322,63.436922,294.29432,0.21555606,0.66850802,4,7,0.85,0.4,0.3,0.016173415,29,0,2,1.6719141
dT40,2.2,2.2,25.814012,64.14302,292.32295,0.21942519,0.67759998,4,7,0.85,0.4,0.375,-0.018741175,30,1,2,1.6757049
dT40,2.21,2.21,25.493407,63.930606,291.16385,0.21956917,0.68095991,4,6,0.85,0.45,0.25,-0.0098038628,31,1,4,1.6522377
dT40,2.22,2.22,25.218689,63.341601,293.58598,0.21575145,0.66860364,4,7,0.85,0.4,0.25,-0.036921685,28,1,5,1.660324
dT40,2.23,2.23,25.640735,63.300311,292.66279,0.21629094,0.67214892,5,7,0.8,0.35,0.25,-0.057346034,30,1,5,1.6670832
dT40,2.24,2.24,25.712162,63.677346,294.34529,0.21633554,0.66450227,5,6,0.8,0.4,0.225,-0.03867318,29,0,1,1.6523416
dT40,2.25,2.25,25.796585,64.915159,290.35553,0.22357128,0.66197593,5,7,0.8,0.4,0.2,-0.033279041,30,1,5,1.6479781
dT40,2.26,2.26,25.861802,64.608731,289.4485,0.22321321,0.65245935,5,7,0.8,0.4,0.275,-0.011453504,28,1,5,1.6376439
dT40,2.27,2.27,25.59299,65.252703,288.82918,0.22592144,0.65830475,5,7,0.8,0.4,0.15,-0.04645261,27,0,4,1.6369452
dT40,2.28,2.28,25.775077,65.504646,290.72322,0.22531619,0.6463295,5,7,0.8,0.4,0.225,-0.0095855871,30,0,3,1.6607757
dT40,2.29,2.29,25.836892,63.90294,286.84071,0.22278197,0.65789085,4,6,0.825,0.45,0.3,-0.016609071,27,1,4,1.6479392
dT40,2.3,2.3,25.713401,61.947742,287.9761,0.21511418,0.64690759,4,7,0.8,0.35,0.3,-0.0097977318,26,0,3,1.6448408
dT40,2.31,2.31,25.742675,62.228601,290.91404,0.21390718,0.64626797,4,7,0.8,0.35,0.25,-0.011527004,27,0,2,1.6631709
dT40,2.32,2.32,25.906205,61.102728,289.24235,0.21125098,0.66439936,4,7,0.8,0.4,0.15,0.025008959,29,1,5,1.6913407
dT40,2.33,2.33,26.014729,62.737007,288.41966,0.21751987,0.6563242,3,8,0.85,0.4,0.15,-0.016816314,29,1,5,1.6558873
dT40,2.34,2.34,26.347523,62.680211,290.27422,0.21593448,0.65940577,4,8,0.825,0.325,0.225,-0.020078201,29,0,4,1.6331509
dT40,2.35,2.35,26.519438,64.004252,292.47535,0.2188364,0.65950961,2,6,0.9,0.525,0.25,-0.0057343936,28,1,3,1.6444197
dT40,2.36,2.36,26.600812,64.204533,290.87054,0.22073233,0.6648717,4,8,0.85,0.35,0.2,-0.00089048143,30,0,3,1.6454515
dT40,2.37,2.37,26.544291,62.690939,291.14099,0.21532846,0.65361,3,8,0.85,0.35,0.225,0.011797129,30,1,5,1.6423929
dT40,2.38,2.38,26.384023,63.321692,293.05057,0.2160777,0.65449867,4,8,0.8,0.3,0.25,0.0081118274,29,0,3,1.6404247
dT40,2.39,2.39,26.470709,63.576703,292.92961,0.21703747,0.67086712,1,8,0.95,0.45,0.2,0.018943817,30,0,4,1.6477029
